182.59	149.80	81.61	-5.10	-22.17	-55.77	-66.46	-79.50	-157.84	-0.02	-152.26	-158.49	-158.29	-159.36	-159.48	-162.31	194.90	194.88
175.87	141.14	71.97	-11.72	-27.07	-56.04	-60.78	-68.57	-188.36	-0.03	-177.28	-187.14	-188.83	-187.12	-184.14	-146.28	194.74	194.73
181.14	145.76	75.57	-8.10	-22.51	-47.98	-47.12	-48.23	-282.47	-0.04	-263.63	-276.77	-272.32	-236.71	-201.71	-81.87	194.90	194.89
177.08	138.67	65.08	-17.55	-30.28	-50.81	-42.74	-36.83	-469.69	-0.07	-413.33	-306.85	-192.84	-149.06	-127.74	-51.83	195.09	195.08
142.25	100.18	25.88	-46.04	-54.75	-66.81	-49.74	-37.96	-500.10	-0.09	-365.53	-150.42	-155.16	-143.60	-123.64	-55.81	195.28	195.28
74.09	33.21	-35.13	-88.65	-91.31	-92.41	-65.97	-50.69	-338.61	-0.06	-250.98	-116.18	-131.56	-122.87	-106.28	-50.11	195.82	195.82
-31.59	-61.67	-114.08	-140.45	-135.66	-123.45	-87.79	-71.06	-142.29	-0.02	-125.22	-94.54	-98.86	-96.08	-85.83	-47.36	196.48	196.47
-189.68	-195.06	-216.26	-203.82	-189.26	-159.95	-120.53	-98.08	43.61	0.00	-34.19	-40.77	-52.07	-59.74	-54.70	-21.79	196.45	196.44
-325.70	-306.05	-294.73	-248.03	-225.64	-183.31	-141.51	-79.02	135.36	0.01	19.60	-7.85	-23.95	-39.99	-40.14	-18.20	196.46	196.45
-494.84	-442.54	-385.95	-300.57	-277.49	-205.41	-124.37	-90.67	196.99	0.02	71.67	26.71	6.50	-17.76	-23.07	-17.45	196.41	196.39
-650.22	-571.07	-475.61	-381.74	-295.59	-220.22	-136.26	-94.29	219.52	0.03	111.02	55.10	32.09	1.23	-8.41	-17.40	196.62	196.60
-732.86	-665.16	-652.62	-337.29	-310.46	-231.79	-135.88	-89.51	220.57	0.03	137.39	75.68	50.82	14.79	1.47	-22.72	196.26	196.23
-784.27	-775.36	-771.23	-355.06	-318.71	-228.81	-127.73	-82.81	217.08	0.03	159.98	94.72	68.32	27.37	10.40	-30.00	196.73	196.71
-173.26	-173.11	-171.83	-177.76	-171.93	-167.38	-169.89	-173.71	210.04	0.04	104.04	49.59	24.51	-14.11	-31.27	-93.30	195.42	195.39
-167.54	-166.18	-166.39	-170.56	-168.15	-165.85	-167.98	-173.75	214.61	0.03	117.46	60.19	34.24	-7.80	-27.54	-100.08	194.32	194.29
-167.68	-166.10	-167.14	-170.21	-169.30	-168.61	-170.74	-175.89	217.00	0.03	131.99	72.46	45.81	0.78	-21.24	-102.04	194.06	194.03
-169.74	-168.09	-169.37	-171.48	-171.54	-172.15	-173.72	-178.21	217.08	0.04	145.36	84.55	57.49	9.94	-14.10	-102.66	193.80	193.76
